MESURES DE CENTRALITE
Noeud,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
0,0.484848,0.437635,0.568966,0.355483
1,0.272727,0.053937,0.485294,0.265954
2,0.303030,0.143657,0.559322,0.317189
3,0.181818,0.011909,0.464789,0.211174
4,0.090909,0.000631,0.379310,0.075966
5,0.121212,0.029987,0.383721,0.079481
6,0.121212,0.029987,0.383721,0.079481
7,0.121212,0.000000,0.440000,0.170955
8,0.151515,0.055927,0.515625,0.227405
9,0.060606,0.000848,0.434211,0.102675
10,0.090909,0.000631,0.379310,0.075966
11,0.030303,0.000000,0.366667,0.052854
12,0.060606,0.000000,0.370787,0.084252
13,0.151515,0.045863,0.515625,0.226470
14,0.060606,0.000000,0.370787,0.101406
15,0.060606,0.000000,0.370787,0.101406
16,0.060606,0.000000,0.284483,0.023635
17,0.060606,0.000000,0.375000,0.092397
18,0.060606,0.000000,0.370787,0.101406
19,0.090909,0.032475,0.500000,0.147911
20,0.060606,0.000000,0.370787,0.101406
21,0.060606,0.000000,0.375000,0.092397
22,0.060606,0.000000,0.370787,0.101406
23,0.151515,0.017614,0.392857,0.150123
24,0.090909,0.002210,0.375000,0.057054
25,0.090909,0.003840,0.375000,0.059208
26,0.060606,0.000000,0.362637,0.075582
27,0.121212,0.022333,0.458333,0.133479
28,0.090909,0.001795,0.452055,0.131079
29,0.121212,0.002922,0.383721,0.134965
30,0.121212,0.014412,0.458333,0.174760
31,0.181818,0.138276,0.540984,0.191036
32,0.363636,0.145247,0.515625,0.308651
33,0.515152,0.304075,0.550000,0.373371
